time,open,high,low,close,volume
2019-09-17,58.46,59.19,58.46,59.07,24140
2019-09-18,59.68,59.92,58.76,59.13,34930
2019-09-19,59.13,59.68,59.07,59.07,35190
2019-09-20,59.68,60.16,59.25,59.74,35520
2019-09-23,59.74,60.59,59.37,60.29,22490
2019-09-24,60.47,60.83,58.89,58.89,49180
2019-09-25,60.29,60.29,59.37,60.29,40580
2019-09-26,60.91,61.54,60.29,60.47,51010
2019-09-27,61.17,61.17,57.15,59.91,40730
2019-09-30,58.15,60.29,58.15,59.66,30400
2019-10-01,59.66,59.66,58.09,59.03,48600
2019-10-02,58.78,59.03,58.4,58.4,27640
2019-10-03,58.4,58.4,57.77,58.15,34830
2019-10-04,59.16,59.16,57.27,57.27,40930
2019-10-07,58.28,59.16,57.27,57.27,25110
2019-10-08,57.27,58.03,56.9,56.9,28080
2019-10-09,56.96,57.15,56.52,56.52,50550
2019-10-10,56.52,56.77,56.39,56.39,34060
2019-10-11,56.52,57.77,56.39,56.52,58730
2019-10-14,56.52,56.9,56.39,56.39,50540
2019-10-15,56.52,56.52,55.76,56.39,37640
2019-10-16,56.83,56.83,55.89,55.89,51230
2019-10-17,55.89,55.95,55.26,55.26,41340
2019-10-18,55.01,55.58,54.63,54.82,30990
2019-10-21,54.82,55.01,53.82,53.82,59120
2019-10-22,51.49,52.75,51.49,52.0,110200
2019-10-23,52.75,52.75,52.0,52.12,19560
2019-10-24,52.12,52.5,52.0,52.31,33160
2019-10-25,52.31,52.31,51.37,51.49,54570
2019-10-28,51.49,51.68,49.92,49.92,70950
2019-10-29,49.61,50.24,49.3,49.42,95440
2019-10-30,49.05,50.24,49.05,49.8,32120
2019-10-31,49.67,50.24,49.49,49.61,23400
2019-11-01,49.55,49.55,47.79,47.79,157030
2019-11-04,47.73,47.98,46.78,46.78,163130
2019-11-05,46.78,47.92,46.66,46.78,285990
2019-11-06,46.78,47.48,46.78,47.16,146890
2019-11-07,47.41,47.6,47.1,47.1,91940
2019-11-08,47.54,47.6,46.78,46.78,63590
2019-11-11,46.78,47.1,45.84,45.84,64860
2019-11-12,46.22,46.35,44.78,44.78,148330
2019-11-13,44.78,45.84,43.96,44.08,156900
2019-11-14,43.83,44.02,42.7,43.33,118100
2019-11-15,43.33,43.33,42.77,43.27,65480
2019-11-18,42.83,45.53,42.83,44.4,115510
2019-11-19,44.9,45.47,44.4,44.59,89730
2019-11-20,45.09,45.09,44.15,44.52,28290
2019-11-21,44.34,44.52,42.7,42.7,92320
2019-11-22,43.08,43.27,40.94,41.2,152570
2019-11-25,40.82,43.02,40.82,41.89,52850
2019-11-26,41.89,42.83,41.89,41.89,22560
2019-11-27,42.14,42.26,41.64,41.64,17780
2019-11-28,41.51,41.95,40.19,40.19,86060
2019-11-29,40.19,40.76,39.37,39.88,82730
2019-12-02,39.88,40.0,39.44,39.56,50170
2019-12-03,38.93,39.69,38.93,39.25,93620
2019-12-04,39.5,39.5,39.12,39.25,53540
2019-12-05,39.12,40.82,39.12,40.0,33220
2019-12-06,40.0,41.82,39.69,41.07,57440
2019-12-09,41.38,41.76,40.32,40.44,62930
2019-12-10,40.25,40.69,39.44,39.44,45690
2019-12-11,39.25,39.56,38.75,39.25,31500
2019-12-12,39.31,40.13,38.75,39.56,14330
2019-12-13,39.56,39.88,38.87,38.93,50710
2019-12-16,38.93,39.5,38.62,39.5,20880
2019-12-17,39.5,39.81,38.87,38.87,20670
2019-12-18,38.93,39.44,38.75,38.75,23980
2019-12-19,38.68,38.93,38.31,38.31,41820
